Role,Years_of_Experience,Involvement_in_ProjectPhase,Frequency_of_Involvement,Communication_Effectiveness,Frequency_of_CollaborativeActivities,CommonCollaboration Patterns,WorkAtmosphere,RequirementClarity,RequirementClarificationEffectiveness,Challenges_in_DefiningRequirements,SkillGapIdentification Frequency,CompetencyImprovementEffectiveness,Challenges_in_CompetencyAlignment,Commitment_ Users,Commitment_Developers,Commitment_Managers,Commitment_Architects,Commitment_Technical Staff,Deadline FulfillmentFrequency,ChangeAdaptationEffectiveness,ChangeHandlingEfficiency,ProjectGoalsCommunicationClarity,Challenges_to_SharedVision,Ministry
User,3-5 years,Development,Rarely,Ineffective,Monthly,"Regular feedback sessions, Cross-functional team meetings",Disagree,Always,Neutral,"Technical terms used leading to confusion, Lack of involvement from users, Unclear requirements from stakeholders, Misaligned goals, Resistance to change",Often,Agree,Resistance to change,3,3,3,2,5,Sometimes,Well,Strongly Agree,Very Clearly,"Inconsistent leadership, Misaligned goals, Poor communication tools, Lack of documentation",Ministry of Agriculture
Architect,3-5 years,Maintenance,Monthly,Neutral,Daily,Informal discussions,Agree,Often,Very Ineffective,"Unclear requirements from stakeholders, Lack of involvement from users, Resistance to change",Sometimes,Neutral,"Resistance to change, Limited resources",1,1,5,3,2,Always,Poorly,Strongly Agree,Clearly,"Inconsistent leadership, Lack of documentation, Poor communication tools",Ministry of Information Technology
User,Less than 1 year,Testing,Weekly,Very Effective,Rarely,"Clear documentation and resource sharing, Cross-functional team meetings, Regular feedback sessions, Informal discussions",Strongly Agree,Sometimes,Very Ineffective,"Lack of involvement from users, Misaligned goals, Resistance to change",Sometimes,Disagree,"Limited resources, Resistance to change",1,4,3,5,4,Never,Very Well,Strongly Agree,Clearly,"Poor communication tools, Lack of documentation, Misaligned goals",Ministry of Information Technology
Manager,Less than 1 year,Development,Weekly,Very Effective,Rarely,"Informal discussions, Regular feedback sessions, Cross-functional team meetings, Clear documentation and resource sharing",Strongly Disagree,Always,Ineffective,Lack of involvement from users,Sometimes,Strongly Agree,Limited resources,2,4,5,4,1,Sometimes,Poorly,Strongly Agree,Unclear,"Poor communication tools, Lack of documentation, Inconsistent leadership, Misaligned goals",Ministry of Agriculture
Technical Staff,More than 5 years,Maintenance,Weekly,Very Effective,Weekly,"Regular feedback sessions, Cross-functional team meetings, Informal discussions",Strongly Agree,Always,Neutral,"Lack of involvement from users, Misaligned goals, Unclear requirements from stakeholders, Technical terms used leading to confusion",Never,Neutral,"Resistance to change, Lack of training",5,2,3,5,4,Rarely,Neutral,Strongly Agree,Neutral,Poor communication tools,Ministry of Education
Manager,Less than 1 year,Development,Rarely,Effective,Rarely,"Cross-functional team meetings, Regular feedback sessions, Clear documentation and resource sharing, Informal discussions",Agree,Sometimes,Very Effective,"Misaligned goals, Lack of involvement from users, Technical terms used leading to confusion, Unclear requirements from stakeholders",Often,Neutral,Lack of training,5,2,5,4,5,Never,Poorly,Neutral,Very Clearly,"Misaligned goals, Poor communication tools",Ministry of Education
Technical Staff,More than 5 years,Maintenance,Rarely,Very Effective,Daily,"Regular feedback sessions, Cross-functional team meetings, Clear documentation and resource sharing",Agree,Sometimes,Ineffective,"Unclear requirements from stakeholders, Lack of involvement from users",Rarely,Agree,"Limited resources, Resistance to change",2,5,4,3,1,Rarely,Very Well,Agree,Clearly,Misaligned goals,Ministry of Information Technology
Developer,3-5 years,Development,Daily,Very Effective,Weekly,"Regular feedback sessions, Cross-functional team meetings, Clear documentation and resource sharing",Strongly Disagree,Always,Very Ineffective,"Technical terms used leading to confusion, Misaligned goals",Often,Agree,"Time constraints, Limited resources, Lack of training",5,5,3,5,1,Often,Poorly,Disagree,Unclear,Misaligned goals,Ministry of Information Technology
Developer,3-5 years,Maintenance,Monthly,Neutral,Weekly,Clear documentation and resource sharing,Strongly Agree,Sometimes,Ineffective,Lack of involvement from users,Never,Neutral,Lack of training,2,2,2,4,4,Never,Very Well,Strongly Agree,Clearly,"Misaligned goals, Poor communication tools",Ministry of Information Technology
Technical Staff,3-5 years,Requirement Gathering,Weekly,Effective,Rarely,Cross-functional team meetings,Neutral,Always,Very Ineffective,"Lack of involvement from users, Unclear requirements from stakeholders, Technical terms used leading to confusion, Misaligned goals",Sometimes,Strongly Agree,"Resistance to change, Time constraints, Limited resources",3,1,5,2,3,Never,Well,Strongly Agree,Unclear,"Inconsistent leadership, Poor communication tools, Misaligned goals",Ministry of Information Technology
Developer,Less than 1 year,Development,Daily,Very Effective,Weekly,"Informal discussions, Clear documentation and resource sharing, Regular feedback sessions",Agree,Sometimes,Ineffective,"Technical terms used leading to confusion, Lack of involvement from users, Misaligned goals",Sometimes,Agree,"Resistance to change, Lack of training, Time constraints",3,3,5,4,1,Often,Poorly,Strongly Agree,Clearly,"Inconsistent leadership, Misaligned goals",Ministry of Education
Technical Staff,Less than 1 year,Development,Daily,Very Effective,Weekly,"Regular feedback sessions, Cross-functional team meetings, Clear documentation and resource sharing",Agree,Sometimes,Effective,"Misaligned goals, Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users",Sometimes,Neutral,Resistance to change,4,3,5,4,4,Often,Well,Neutral,Very Clearly,"Inconsistent leadership, Lack of documentation, Misaligned goals",Ministry of Information Technology
Technical Staff,Less than 1 year,Requirement Gathering,Rarely,Effective,Rarely,"Clear documentation and resource sharing, Cross-functional team meetings, Regular feedback sessions, Informal discussions",Neutral,Always,Neutral,"Technical terms used leading to confusion, Misaligned goals, Unclear requirements from stakeholders",Rarely,Strongly Agree,"Lack of training, Resistance to change",4,2,5,5,2,Never,Very Poorly,Disagree,Neutral,"Lack of documentation, Inconsistent leadership, Poor communication tools, Misaligned goals",Ministry of Agriculture
Architect,1-3 years,Design,Weekly,Neutral,Weekly,"Regular feedback sessions, Cross-functional team meetings, Clear documentation and resource sharing, Informal discussions",Disagree,Sometimes,Very Effective,"Lack of involvement from users, Misaligned goals, Unclear requirements from stakeholders",Never,Strongly Agree,"Time constraints, Resistance to change, Limited resources, Lack of training",5,4,5,2,1,Sometimes,Well,Strongly Agree,Very Clearly,"Inconsistent leadership, Misaligned goals",Ministry of Education
Developer,Less than 1 year,Requirement Gathering,Monthly,Very Effective,Rarely,"Regular feedback sessions, Cross-functional team meetings, Clear documentation and resource sharing, Informal discussions",Strongly Agree,Often,Effective,"Lack of involvement from users, Misaligned goals, Unclear requirements from stakeholders",Often,Strongly Agree,"Resistance to change, Time constraints",5,2,5,4,5,Rarely,Poorly,Strongly Agree,Neutral,"Inconsistent leadership, Poor communication tools",Ministry of Education
User,1-3 years,Requirement Gathering,Weekly,Ineffective,Weekly,"Clear documentation and resource sharing, Regular feedback sessions, Informal discussions, Cross-functional team meetings",Strongly Disagree,Often,Neutral,"Unclear requirements from stakeholders, Resistance to change",Sometimes,Strongly Agree,"Lack of training, Time constraints, Resistance to change, Limited resources",4,3,4,3,2,Often,Well,Neutral,Neutral,"Lack of documentation, Poor communication tools, Misaligned goals, Inconsistent leadership",Ministry of Agriculture
Technical Staff,More than 5 years,Development,Rarely,Neutral,Weekly,"Clear documentation and resource sharing, Informal discussions",Strongly Disagree,Always,Effective,"Misaligned goals, Resistance to change",Rarely,Agree,"Lack of training, Time constraints, Resistance to change",4,5,5,5,4,Often,Neutral,Strongly Agree,Very Clearly,"Lack of documentation, Inconsistent leadership",Ministry of Information Technology
Architect,More than 5 years,Development,Weekly,Very Effective,Daily,"Regular feedback sessions, Cross-functional team meetings, Informal discussions",Strongly Agree,Sometimes,Neutral,"Misaligned goals, Resistance to change",Sometimes,Strongly Agree,Lack of training,5,1,5,4,5,Often,Poorly,Neutral,Very Clearly,"Inconsistent leadership, Poor communication tools, Misaligned goals",Ministry of Education
Developer,Less than 1 year,Maintenance,Rarely,Very Effective,Rarely,"Regular feedback sessions, Informal discussions, Cross-functional team meetings",Strongly Disagree,Always,Effective,"Unclear requirements from stakeholders, Resistance to change",Rarely,Neutral,"Time constraints, Limited resources, Lack of training",5,3,5,5,2,Often,Very Poorly,Strongly Agree,Neutral,Lack of documentation,Ministry of Agriculture
Manager,More than 5 years,Design,Monthly,Very Ineffective,Weekly,"Informal discussions, Regular feedback sessions, Clear documentation and resource sharing, Cross-functional team meetings",Agree,Often,Effective,"Misaligned goals, Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users",Rarely,Strongly Agree,"Lack of training, Time constraints, Resistance to change",5,1,2,3,5,Never,Very Poorly,Agree,Clearly,"Inconsistent leadership, Misaligned goals, Poor communication tools, Lack of documentation",Ministry of Education
Technical Staff,3-5 years,Testing,Daily,Neutral,Monthly,"Clear documentation and resource sharing, Regular feedback sessions",Strongly Disagree,Always,Very Effective,"Misaligned goals, Unclear requirements from stakeholders, Lack of involvement from users, Technical terms used leading to confusion",Sometimes,Agree,"Limited resources, Time constraints, Lack of training, Resistance to change",5,2,4,4,1,Always,Poorly,Strongly Disagree,Very Clearly,"Misaligned goals, Poor communication tools, Inconsistent leadership",Ministry of Agriculture
Manager,3-5 years,Requirement Gathering,Rarely,Ineffective,Weekly,"Regular feedback sessions, Clear documentation and resource sharing",Neutral,Sometimes,Ineffective,"Technical terms used leading to confusion, Unclear requirements from stakeholders",Often,Strongly Agree,Limited resources,4,4,3,5,3,Always,Poorly,Disagree,Very Clearly,"Lack of documentation, Inconsistent leadership",Ministry of Education
Developer,Less than 1 year,Maintenance,Monthly,Effective,Monthly,Regular feedback sessions,Strongly Agree,Often,Neutral,"Lack of involvement from users, Unclear requirements from stakeholders, Misaligned goals",Sometimes,Disagree,"Limited resources, Lack of training, Time constraints, Resistance to change",4,5,3,5,5,Never,Very Well,Agree,Neutral,"Poor communication tools, Inconsistent leadership",Ministry of Information Technology
Technical Staff,Less than 1 year,Design,Monthly,Effective,Daily,Regular feedback sessions,Strongly Disagree,Often,Neutral,"Technical terms used leading to confusion, Unclear requirements from stakeholders, Misaligned goals, Lack of involvement from users",Never,Strongly Agree,Lack of training,1,5,5,2,2,Always,Poorly,Agree,Neutral,"Poor communication tools, Lack of documentation",Ministry of Agriculture
Technical Staff,1-3 years,Development,Weekly,Very Effective,Rarely,Clear documentation and resource sharing,Strongly Disagree,Often,Very Ineffective,"Lack of involvement from users, Unclear requirements from stakeholders, Technical terms used leading to confusion, Resistance to change",Sometimes,Strongly Agree,"Limited resources, Resistance to change, Lack of training, Time constraints",5,1,5,5,1,Always,Neutral,Neutral,Neutral,"Lack of documentation, Poor communication tools, Misaligned goals",Ministry of Information Technology
User,1-3 years,Maintenance,Daily,Very Effective,Rarely,Clear documentation and resource sharing,Strongly Agree,Rarely,Very Effective,"Technical terms used leading to confusion, Misaligned goals, Resistance to change",Sometimes,Agree,"Time constraints, Limited resources",4,5,3,2,1,Never,Very Well,Agree,Clearly,Misaligned goals,Ministry of Education
Architect,More than 5 years,Requirement Gathering,Daily,Very Effective,Weekly,"Regular feedback sessions, Informal discussions",Neutral,Sometimes,Very Ineffective,"Technical terms used leading to confusion, Lack of involvement from users, Misaligned goals",Rarely,Strongly Agree,"Lack of training, Limited resources, Time constraints, Resistance to change",5,2,4,3,4,Often,Poorly,Neutral,Very Clearly,"Poor communication tools, Inconsistent leadership, Misaligned goals",Ministry of Agriculture
Technical Staff,1-3 years,Development,Daily,Effective,Daily,Clear documentation and resource sharing,Disagree,Rarely,Ineffective,"Unclear requirements from stakeholders, Lack of involvement from users, Technical terms used leading to confusion, Misaligned goals",Always,Strongly Agree,"Limited resources, Lack of training, Time constraints",1,5,3,5,2,Rarely,Poorly,Agree,Very Clearly,Lack of documentation,Ministry of Information Technology
Architect,3-5 years,Development,Monthly,Neutral,Weekly,"Clear documentation and resource sharing, Informal discussions, Cross-functional team meetings, Regular feedback sessions",Strongly Agree,Always,Neutral,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Lack of involvement from users, Resistance to change",Often,Neutral,Resistance to change,4,1,4,5,4,Sometimes,Well,Strongly Disagree,Clearly,"Misaligned goals, Poor communication tools, Inconsistent leadership",Ministry of Education
Technical Staff,1-3 years,Maintenance,Weekly,Very Effective,Daily,"Clear documentation and resource sharing, Regular feedback sessions, Cross-functional team meetings, Informal discussions",Strongly Agree,Sometimes,Neutral,"Unclear requirements from stakeholders, Lack of involvement from users, Technical terms used leading to confusion, Misaligned goals",Never,Strongly Agree,"Resistance to change, Lack of training, Limited resources, Time constraints",5,3,5,3,4,Sometimes,Very Well,Strongly Agree,Clearly,"Poor communication tools, Inconsistent leadership",Ministry of Information Technology
Manager,Less than 1 year,Design,Weekly,Very Effective,Rarely,"Cross-functional team meetings, Informal discussions, Clear documentation and resource sharing",Neutral,Always,Very Effective,"Misaligned goals, Unclear requirements from stakeholders, Lack of involvement from users, Technical terms used leading to confusion",Often,Agree,"Lack of training, Resistance to change, Time constraints, Limited resources",4,5,5,5,4,Often,Neutral,Disagree,Unclear,Lack of documentation,Ministry of Agriculture
User,More than 5 years,Development,Weekly,Very Effective,Rarely,"Clear documentation and resource sharing, Cross-functional team meetings, Informal discussions",Strongly Disagree,Always,Effective,"Technical terms used leading to confusion, Misaligned goals, Lack of involvement from users",Rarely,Disagree,"Lack of training, Resistance to change, Time constraints, Limited resources",2,4,3,3,4,Never,Neutral,Neutral,Clearly,"Misaligned goals, Poor communication tools, Inconsistent leadership",Ministry of Information Technology
User,Less than 1 year,Design,Monthly,Ineffective,Monthly,Cross-functional team meetings,Neutral,Often,Effective,"Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users, Misaligned goals",Rarely,Strongly Agree,Limited resources,3,1,4,4,2,Sometimes,Very Poorly,Agree,Very Clearly,"Lack of documentation, Misaligned goals, Poor communication tools, Inconsistent leadership",Ministry of Agriculture
Architect,More than 5 years,Maintenance,Monthly,Very Effective,Daily,"Informal discussions, Clear documentation and resource sharing, Cross-functional team meetings, Regular feedback sessions",Strongly Agree,Always,Effective,"Unclear requirements from stakeholders, Misaligned goals, Resistance to change",Sometimes,Agree,"Time constraints, Limited resources, Resistance to change",4,2,2,5,3,Never,Well,Neutral,Very Clearly,"Misaligned goals, Poor communication tools, Inconsistent leadership",Ministry of Education
User,3-5 years,Testing,Monthly,Effective,Daily,"Informal discussions, Clear documentation and resource sharing, Regular feedback sessions",Neutral,Always,Very Ineffective,"Misaligned goals, Lack of involvement from users, Unclear requirements from stakeholders, Technical terms used leading to confusion",Always,Agree,"Limited resources, Lack of training, Time constraints",3,4,5,4,5,Always,Poorly,Disagree,Neutral,"Inconsistent leadership, Misaligned goals, Poor communication tools, Lack of documentation",Ministry of Education
Developer,3-5 years,Design,Daily,Very Effective,Daily,Informal discussions,Strongly Agree,Often,Effective,"Misaligned goals, Lack of involvement from users, Resistance to change",Always,Neutral,"Limited resources, Resistance to change, Time constraints",5,2,2,4,2,Never,Very Well,Neutral,Unclear,"Misaligned goals, Lack of documentation, Poor communication tools",Ministry of Information Technology
User,More than 5 years,Requirement Gathering,Weekly,Very Effective,Weekly,"Informal discussions, Cross-functional team meetings, Regular feedback sessions, Clear documentation and resource sharing",Strongly Agree,Sometimes,Very Ineffective,"Misaligned goals, Lack of involvement from users, Technical terms used leading to confusion, Unclear requirements from stakeholders, Resistance to change",Often,Neutral,"Time constraints, Lack of training, Resistance to change, Limited resources",4,4,4,3,4,Often,Well,Strongly Agree,Clearly,"Misaligned goals, Lack of documentation",Ministry of Education
Manager,More than 5 years,Design,Daily,Effective,Monthly,"Clear documentation and resource sharing, Cross-functional team meetings, Regular feedback sessions",Strongly Agree,Always,Very Ineffective,"Misaligned goals, Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users",Often,Agree,"Limited resources, Lack of training",5,5,5,2,5,Often,Well,Agree,Unclear,"Inconsistent leadership, Poor communication tools, Misaligned goals",Ministry of Agriculture
Technical Staff,More than 5 years,Testing,Rarely,Very Ineffective,Rarely,Cross-functional team meetings,Disagree,Always,Neutral,"Technical terms used leading to confusion, Misaligned goals, Lack of involvement from users",Rarely,Neutral,"Lack of training, Time constraints",2,4,5,3,3,Rarely,Well,Neutral,Very Clearly,"Inconsistent leadership, Lack of documentation",Ministry of Agriculture
Manager,Less than 1 year,Design,Weekly,Effective,Daily,"Informal discussions, Regular feedback sessions, Clear documentation and resource sharing, Cross-functional team meetings",Neutral,Always,Ineffective,"Lack of involvement from users, Technical terms used leading to confusion, Unclear requirements from stakeholders, Misaligned goals",Often,Agree,Limited resources,1,5,5,2,5,Rarely,Very Poorly,Strongly Agree,Very Clearly,"Poor communication tools, Misaligned goals",Ministry of Agriculture
Manager,1-3 years,Design,Monthly,Very Ineffective,Weekly,Informal discussions,Neutral,Rarely,Very Effective,"Technical terms used leading to confusion, Misaligned goals, Lack of involvement from users, Resistance to change",Never,Agree,"Lack of training, Limited resources, Resistance to change",3,3,4,4,2,Often,Well,Strongly Agree,Unclear,"Lack of documentation, Misaligned goals",Ministry of Information Technology
User,Less than 1 year,Requirement Gathering,Rarely,Very Ineffective,Monthly,Informal discussions,Strongly Agree,Often,Very Ineffective,"Lack of involvement from users, Technical terms used leading to confusion, Unclear requirements from stakeholders, Resistance to change, Resistance to change",Rarely,Neutral,"Lack of training, Limited resources, Resistance to change",5,3,5,3,5,Rarely,Very Well,Disagree,Clearly,"Lack of documentation, Poor communication tools, Inconsistent leadership",Ministry of Agriculture
User,1-3 years,Requirement Gathering,Rarely,Neutral,Monthly,Regular feedback sessions,Agree,Often,Ineffective,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Lack of involvement from users, Misaligned goals, Resistance to change",Sometimes,Disagree,"Time constraints, Resistance to change",1,2,4,3,5,Always,Very Well,Disagree,Unclear,"Misaligned goals, Lack of documentation, Poor communication tools",Ministry of Information Technology
Manager,3-5 years,Maintenance,Weekly,Neutral,Monthly,"Clear documentation and resource sharing, Informal discussions, Cross-functional team meetings, Regular feedback sessions",Strongly Agree,Often,Neutral,"Misaligned goals, Lack of involvement from users, Technical terms used leading to confusion, Resistance to change",Never,Agree,Lack of training,4,3,5,5,1,Never,Neutral,Neutral,Clearly,"Misaligned goals, Lack of documentation",Ministry of Education
Architect,1-3 years,Testing,Rarely,Very Effective,Daily,"Regular feedback sessions, Cross-functional team meetings, Clear documentation and resource sharing, Informal discussions",Strongly Agree,Always,Effective,"Unclear requirements from stakeholders, Misaligned goals, Technical terms used leading to confusion, Lack of involvement from users",Rarely,Strongly Agree,"Resistance to change, Lack of training, Limited resources, Time constraints",5,5,5,2,3,Rarely,Poorly,Strongly Agree,Very Clearly,"Misaligned goals, Poor communication tools",Ministry of Information Technology
Technical Staff,More than 5 years,Requirement Gathering,Rarely,Neutral,Monthly,Cross-functional team meetings,Agree,Always,Very Effective,"Technical terms used leading to confusion, Resistance to change",Often,Neutral,Lack of training,3,5,2,5,2,Rarely,Very Well,Agree,Unclear,"Inconsistent leadership, Lack of documentation, Misaligned goals, Poor communication tools",Ministry of Education
Technical Staff,3-5 years,Testing,Rarely,Effective,Weekly,"Clear documentation and resource sharing, Cross-functional team meetings",Strongly Disagree,Always,Very Effective,"Misaligned goals, Unclear requirements from stakeholders",Never,Disagree,"Limited resources, Lack of training, Time constraints, Resistance to change",3,4,5,2,2,Rarely,Neutral,Agree,Unclear,"Poor communication tools, Misaligned goals, Lack of documentation, Inconsistent leadership",Ministry of Education
Architect,Less than 1 year,Requirement Gathering,Monthly,Effective,Daily,"Clear documentation and resource sharing, Informal discussions, Regular feedback sessions",Strongly Agree,Often,Effective,"Unclear requirements from stakeholders, Lack of involvement from users, Technical terms used leading to confusion",Rarely,Agree,Time constraints,5,2,2,5,1,Always,Well,Disagree,Very Unclear,"Poor communication tools, Inconsistent leadership",Ministry of Agriculture
Technical Staff,1-3 years,Design,Weekly,Very Effective,Monthly,Clear documentation and resource sharing,Neutral,Rarely,Neutral,"Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users, Resistance to change",Never,Strongly Agree,"Lack of training, Resistance to change, Time constraints",5,2,5,3,5,Often,Very Poorly,Neutral,Unclear,Lack of documentation,Ministry of Agriculture
Technical Staff,3-5 years,Maintenance,Monthly,Very Ineffective,Weekly,"Clear documentation and resource sharing, Informal discussions",Disagree,Always,Ineffective,"Misaligned goals, Resistance to change, Resistance to change",Always,Disagree,"Resistance to change, Lack of training, Limited resources",1,1,2,5,3,Always,Well,Strongly Agree,Very Clearly,"Lack of documentation, Misaligned goals, Inconsistent leadership, Poor communication tools",Ministry of Agriculture
User,3-5 years,Design,Rarely,Effective,Daily,Regular feedback sessions,Agree,Always,Neutral,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Resistance to change",Often,Strongly Agree,"Resistance to change, Time constraints, Lack of training",5,4,5,3,1,Always,Very Poorly,Neutral,Neutral,"Lack of documentation, Poor communication tools, Misaligned goals, Inconsistent leadership",Ministry of Education
User,More than 5 years,Development,Weekly,Neutral,Monthly,"Regular feedback sessions, Cross-functional team meetings, Informal discussions",Agree,Always,Neutral,"Technical terms used leading to confusion, Misaligned goals",Always,Neutral,"Lack of training, Limited resources, Resistance to change",5,4,3,4,5,Never,Poorly,Strongly Agree,Unclear,Misaligned goals,Ministry of Information Technology
Manager,Less than 1 year,Development,Weekly,Very Effective,Monthly,Regular feedback sessions,Disagree,Rarely,Very Effective,"Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users, Resistance to change",Rarely,Agree,"Limited resources, Time constraints",5,5,4,4,4,Often,Poorly,Agree,Clearly,"Lack of documentation, Misaligned goals, Poor communication tools, Inconsistent leadership",Ministry of Information Technology
Technical Staff,More than 5 years,Development,Rarely,Ineffective,Weekly,"Clear documentation and resource sharing, Informal discussions",Strongly Disagree,Always,Very Ineffective,"Technical terms used leading to confusion, Unclear requirements from stakeholders, Misaligned goals, Resistance to change",Always,Strongly Agree,"Lack of training, Resistance to change, Time constraints",4,2,5,4,5,Rarely,Poorly,Neutral,Neutral,"Poor communication tools, Lack of documentation, Misaligned goals, Inconsistent leadership",Ministry of Education
Technical Staff,Less than 1 year,Testing,Monthly,Neutral,Weekly,Cross-functional team meetings,Agree,Always,Very Effective,Technical terms used leading to confusion,Always,Agree,"Resistance to change, Lack of training, Limited resources, Time constraints",4,4,3,5,4,Often,Well,Agree,Clearly,"Misaligned goals, Poor communication tools, Inconsistent leadership",Ministry of Agriculture
User,More than 5 years,Design,Rarely,Neutral,Monthly,"Regular feedback sessions, Clear documentation and resource sharing, Informal discussions, Cross-functional team meetings",Disagree,Often,Ineffective,"Misaligned goals, Unclear requirements from stakeholders, Technical terms used leading to confusion, Resistance to change",Never,Disagree,Lack of training,3,5,5,2,5,Often,Poorly,Strongly Agree,Very Clearly,Poor communication tools,Ministry of Education
Technical Staff,More than 5 years,Maintenance,Daily,Effective,Monthly,"Regular feedback sessions, Clear documentation and resource sharing, Cross-functional team meetings",Disagree,Sometimes,Neutral,"Technical terms used leading to confusion, Misaligned goals, Resistance to change",Often,Strongly Agree,Resistance to change,4,5,4,4,1,Sometimes,Very Poorly,Agree,Very Clearly,Poor communication tools,Ministry of Information Technology
